county,ai_male_17.5,ai_female_17.5,ai_unknown_17.5,ap_male_17.5,ap_female_17.5,ap_unknown_17.5,bh_male_17.5,bh_female_17.5,bh_unknown_17.5,hp_male_17.5,hp_female_17.5,hp_unknown_17.5,wh_male_17.5,wh_female_17.5,wh_unknown_17.5,ot_male_17.5,ot_female_17.5,ot_unknown_17.5,uk_male_17.5,uk_female_17.5,uk_unknown_17.5,ai_male_18-24,ai_female_18-24,ai_unknown_18-24,ap_male_18-24,ap_female_18-24,ap_unknown_18-24,bh_male_18-24,bh_female_18-24,bh_unknown_18-24,hp_male_18-24,hp_female_18-24,hp_unknown_18-24,wh_male_18-24,wh_female_18-24,wh_unknown_18-24,ot_male_18-24,ot_female_18-24,ot_unknown_18-24,uk_male_18-24,uk_female_18-24,uk_unknown_18-24,ai_male_25-29,ai_female_25-29,ai_unknown_25-29,ap_male_25-29,ap_female_25-29,ap_unknown_25-29,bh_male_25-29,bh_female_25-29,bh_unknown_25-29,hp_male_25-29,hp_female_25-29,hp_unknown_25-29,wh_male_25-29,wh_female_25-29,wh_unknown_25-29,ot_male_25-29,ot_female_25-29,ot_unknown_25-29,uk_male_25-29,uk_female_25-29,uk_unknown_25-29,ai_male_30-34,ai_female_30-34,ai_unknown_30-34,ap_male_30-34,ap_female_30-34,ap_unknown_30-34,bh_male_30-34,bh_female_30-34,bh_unknown_30-34,hp_male_30-34,hp_female_30-34,hp_unknown_30-34,wh_male_30-34,wh_female_30-34,wh_unknown_30-34,ot_male_30-34,ot_female_30-34,ot_unknown_30-34,uk_male_30-34,uk_female_30-34,uk_unknown_30-34,ai_male_35-39,ai_female_35-39,ai_unknown_35-39,ap_male_35-39,ap_female_35-39,ap_unknown_35-39,bh_male_35-39,bh_female_35-39,bh_unknown_35-39,hp_male_35-39,hp_female_35-39,hp_unknown_35-39,wh_male_35-39,wh_female_35-39,wh_unknown_35-39,ot_male_35-39,ot_female_35-39,ot_unknown_35-39,uk_male_35-39,uk_female_35-39,uk_unknown_35-39,ai_male_40-44,ai_female_40-44,ai_unknown_40-44,ap_male_40-44,ap_female_40-44,ap_unknown_40-44,bh_male_40-44,bh_female_40-44,bh_unknown_40-44,hp_male_40-44,hp_female_40-44,hp_unknown_40-44,wh_male_40-44,wh_female_40-44,wh_unknown_40-44,ot_male_40-44,ot_female_40-44,ot_unknown_40-44,uk_male_40-44,uk_female_40-44,uk_unknown_40-44,ai_male_45-49,ai_female_45-49,ai_unknown_45-49,ap_male_45-49,ap_female_45-49,ap_unknown_45-49,bh_male_45-49,bh_female_45-49,bh_unknown_45-49,hp_male_45-49,hp_female_45-49,hp_unknown_45-49,wh_male_45-49,wh_female_45-49,wh_unknown_45-49,ot_male_45-49,ot_female_45-49,ot_unknown_45-49,uk_male_45-49,uk_female_45-49,uk_unknown_45-49,ai_male_50-54,ai_female_50-54,ai_unknown_50-54,ap_male_50-54,ap_female_50-54,ap_unknown_50-54,bh_male_50-54,bh_female_50-54,bh_unknown_50-54,hp_male_50-54,hp_female_50-54,hp_unknown_50-54,wh_male_50-54,wh_female_50-54,wh_unknown_50-54,ot_male_50-54,ot_female_50-54,ot_unknown_50-54,uk_male_50-54,uk_female_50-54,uk_unknown_50-54,ai_male_55-59,ai_female_55-59,ai_unknown_55-59,ap_male_55-59,ap_female_55-59,ap_unknown_55-59,bh_male_55-59,bh_female_55-59,bh_unknown_55-59,hp_male_55-59,hp_female_55-59,hp_unknown_55-59,wh_male_55-59,wh_female_55-59,wh_unknown_55-59,ot_male_55-59,ot_female_55-59,ot_unknown_55-59,uk_male_55-59,uk_female_55-59,uk_unknown_55-59,ai_male_60-64,ai_female_60-64,ai_unknown_60-64,ap_male_60-64,ap_female_60-64,ap_unknown_60-64,bh_male_60-64,bh_female_60-64,bh_unknown_60-64,hp_male_60-64,hp_female_60-64,hp_unknown_60-64,wh_male_60-64,wh_female_60-64,wh_unknown_60-64,ot_male_60-64,ot_female_60-64,ot_unknown_60-64,uk_male_60-64,uk_female_60-64,uk_unknown_60-64,ai_male_65+,ai_female_65+,ai_unknown_65+,ap_male_65+,ap_female_65+,ap_unknown_65+,bh_male_65+,bh_female_65+,bh_unknown_65+,hp_male_65+,hp_female_65+,hp_unknown_65+,wh_male_65+,wh_female_65+,wh_unknown_65+,ot_male_65+,ot_female_65+,ot_unknown_65+,uk_male_65+,uk_female_65+,uk_unknown_65+
Hall County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,0,135,160,2,563,546,6,2198,2418,21,4479,4645,48,198,208,1,1294,980,18,9,11,0,81,92,1,476,523,3,1094,1116,4,3165,3330,12,111,130,1,915,699,6,7,16,0,64,63,2,398,442,1,588,656,5,3169,3330,11,79,84,0,602,538,8,10,16,0,42,85,0,315,404,1,409,525,1,2937,3152,8,63,67,0,546,477,5,9,7,0,56,76,1,333,416,1,316,409,2,2877,3182,15,49,62,0,451,446,4,9,11,0,75,79,0,305,403,1,357,392,3,3295,3564,8,51,62,0,489,477,2,7,7,0,83,83,0,372,422,1,398,367,1,3735,4008,11,49,52,0,608,478,6,13,6,0,81,72,2,364,445,0,348,266,1,4060,4270,5,67,45,0,644,528,8,9,6,0,50,72,1,312,365,0,232,197,1,3620,4136,8,40,42,0,545,522,2,18,10,0,132,141,2,500,758,2,371,286,5,10922,13034,30,57,74,1,1390,1563,12
Hancock County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,197,181,2,2,1,0,42,44,0,4,1,0,30,16,0,0,0,0,0,0,0,160,186,0,0,0,0,32,29,0,2,5,0,14,14,0,0,0,0,0,0,0,153,166,0,0,1,0,30,23,0,0,2,0,6,7,0,0,0,0,0,1,0,129,150,0,1,0,0,25,17,0,1,2,0,9,12,0,0,0,0,1,1,0,138,149,0,0,0,0,25,25,0,0,1,0,15,14,0,0,0,0,0,0,0,111,135,1,0,0,0,38,45,0,0,1,0,10,10,0,0,0,0,1,0,0,141,184,0,0,0,0,64,59,0,2,1,0,9,8,0,0,1,0,2,1,0,182,227,0,1,0,0,64,84,1,2,3,0,16,13,0,0,0,0,2,1,0,160,189,0,1,1,0,103,101,0,3,1,0,15,17,1,3,0,0,0,0,0,394,603,0,4,1,0,354,316,1,2,3,0,36,38,0
Haralson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,9,0,49,37,1,14,9,0,1054,1101,9,23,26,0,97,61,2,6,4,0,4,2,0,38,30,0,9,8,0,741,821,4,5,7,0,44,37,0,5,0,0,5,6,0,32,37,0,4,7,0,754,813,2,8,7,1,44,41,1,0,0,0,4,4,0,30,41,0,3,10,0,730,762,0,9,3,0,46,46,0,1,3,0,6,9,0,35,33,0,7,4,0,654,726,1,6,5,0,41,40,0,1,4,0,5,10,0,28,33,0,6,6,0,731,824,1,6,1,0,71,43,0,1,3,0,6,7,0,38,26,0,4,4,0,858,878,1,6,3,0,58,40,0,2,2,0,2,8,0,34,44,0,7,3,0,779,764,1,2,4,0,67,59,0,0,4,0,2,2,0,47,43,0,1,2,0,705,710,0,4,2,0,47,65,1,1,2,0,6,5,0,61,90,0,3,4,0,1731,2136,1,2,8,0,117,118,0
Harris County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,11,14,0,180,195,4,45,34,1,902,926,6,48,45,0,147,96,2,2,1,0,8,11,0,149,165,0,17,22,0,638,666,1,16,16,0,65,46,1,1,2,0,5,5,0,125,143,0,27,25,0,665,725,2,9,18,0,71,74,0,3,5,0,6,15,0,116,131,0,20,23,0,687,747,0,14,8,0,71,73,1,2,1,0,5,13,0,124,135,0,14,33,0,697,780,3,18,15,0,85,81,1,2,2,0,9,16,0,154,179,1,24,23,0,810,859,0,12,17,0,84,68,0,2,2,0,12,17,0,172,180,0,12,18,0,850,965,0,3,4,0,67,60,0,3,0,0,4,17,1,202,219,0,19,19,0,950,963,0,12,4,0,67,78,0,2,1,0,6,9,0,179,193,0,17,14,0,846,908,0,7,5,0,57,52,0,3,1,0,12,20,0,357,459,0,26,36,0,2300,2429,1,19,23,0,89,122,2
Hart County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,6,0,116,135,1,21,19,0,568,580,8,18,15,0,79,54,2,0,1,0,4,4,0,91,125,0,5,8,0,439,441,2,7,4,0,47,49,0,1,0,0,2,10,0,96,105,0,9,5,0,379,463,2,1,7,0,46,38,0,1,1,0,5,4,0,83,123,0,3,8,0,327,426,0,4,2,0,47,32,1,0,2,0,5,6,0,78,103,0,6,6,0,423,402,1,2,6,0,16,25,0,0,0,0,5,8,0,101,122,0,2,7,0,418,445,0,4,3,0,24,32,0,1,0,0,9,6,0,90,134,0,3,5,0,501,546,1,2,4,0,36,38,0,1,1,0,6,7,0,99,133,0,3,4,0,581,674,0,3,2,0,37,43,1,3,1,0,3,7,0,88,119,0,3,3,0,633,648,2,3,3,0,45,43,0,1,1,0,18,15,0,198,324,1,7,5,0,1967,2256,3,6,4,0,94,121,0
Heard County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,35,34,0,6,9,0,360,346,4,15,19,0,50,31,0,1,1,0,1,1,0,15,27,0,6,1,1,263,290,0,9,6,0,27,22,0,1,1,0,0,0,0,22,15,0,2,4,0,243,285,0,5,0,0,23,8,0,0,2,0,0,4,0,24,21,0,3,1,0,243,255,0,2,6,0,7,14,0,1,2,0,1,2,0,24,24,0,0,2,0,228,265,1,2,3,0,9,8,0,1,0,0,1,2,0,26,18,0,3,3,0,295,301,2,0,2,0,24,19,0,1,2,0,2,0,0,35,44,0,1,2,0,305,285,0,3,3,0,22,10,0,0,0,0,1,3,0,34,41,0,2,1,0,287,307,0,1,0,0,23,18,0,2,2,0,1,2,0,27,46,0,0,0,0,276,283,1,1,1,0,19,11,0,1,0,0,3,4,0,63,94,0,5,1,0,639,734,0,2,1,0,42,34,0
Henry County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,15,0,260,316,4,5830,6254,38,621,697,6,3697,3584,35,523,505,8,1076,948,24,19,10,0,172,175,1,3351,3955,13,362,402,1,2394,2376,5,334,369,1,738,683,9,19,12,0,170,166,1,2881,3880,7,218,322,1,2259,2416,1,269,319,0,623,739,9,17,15,0,116,181,0,2830,4111,5,207,288,0,2133,2331,4,240,346,0,631,830,7,13,19,0,123,165,2,2997,4665,2,232,304,1,2160,2506,3,228,328,1,617,851,10,19,14,0,160,197,1,3442,4849,4,215,252,1,2571,2793,1,233,271,1,666,824,5,13,10,0,165,159,0,3358,4441,4,187,238,1,3014,3177,3,180,261,0,717,769,3,13,14,0,119,137,1,2956,3729,2,168,183,0,3218,3299,3,181,222,0,621,643,3,11,15,0,114,126,3,2154,2769,2,108,147,1,2721,3010,5,148,176,0,500,540,2,6,13,0,249,276,1,3458,4964,8,202,257,0,6787,8151,5,244,306,1,1034,1306,10
Houston County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,195,152,2,1991,2239,25,230,327,1,3031,3001,20,212,243,3,696,495,21,15,10,1,101,84,1,1434,1801,8,134,200,1,2388,2411,17,123,162,3,493,389,8,8,11,0,105,114,2,1322,1991,5,111,155,0,2378,2557,7,96,135,0,389,371,9,4,10,0,90,116,0,1295,1930,9,124,169,0,2365,2693,7,100,103,1,315,331,6,11,12,1,70,98,0,1268,1877,5,115,127,1,2151,2390,2,63,79,1,331,319,6,5,15,1,101,128,1,1158,1571,4,96,133,1,2153,2287,5,56,57,0,278,307,9,11,15,0,94,135,1,1076,1529,3,75,103,0,2301,2361,2,47,53,1,294,282,3,5,8,0,77,126,0,1248,1573,2,88,107,1,2814,2982,2,53,58,0,307,276,6,6,6,1,70,91,1,1053,1314,3,61,66,0,2670,2723,1,34,39,0,232,251,5,11,12,0,109,222,2,1747,2382,5,111,135,2,6206,7441,10,46,96,0,433,443,3
Irwin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,71,71,0,6,9,0,258,201,1,3,2,0,21,10,0,1,1,0,1,2,0,55,66,0,7,6,0,183,171,0,1,1,0,14,7,1,0,0,0,2,2,0,60,75,0,4,3,0,151,168,0,1,0,0,15,6,0,0,0,0,1,0,0,44,84,0,2,7,0,125,165,1,0,1,0,8,11,1,0,1,0,1,0,0,47,68,0,0,1,0,160,158,0,4,1,0,8,4,0,0,1,0,1,2,0,45,49,0,1,2,0,171,194,0,1,1,0,5,4,0,0,0,0,0,1,0,53,65,0,4,1,0,189,201,0,0,0,0,9,8,0,0,3,0,1,2,0,50,80,0,1,1,0,184,207,0,1,1,0,9,8,0,0,1,0,0,0,0,51,71,0,3,0,0,168,186,0,1,1,0,8,6,0,0,0,0,1,2,0,115,192,0,1,3,0,548,597,0,0,2,0,22,22,0
Jackson County,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,9,0,63,65,0,179,191,1,216,278,1,2135,2192,19,71,88,0,326,242,6,6,1,0,44,41,1,152,140,1,124,120,0,1535,1671,1,39,39,0,234,188,3,4,2,0,42,33,0,139,150,2,95,135,0,1745,1891,2,30,35,0,167,182,1,2,2,0,46,51,0,126,164,0,83,81,0,1731,1896,4,34,23,0,214,177,1,1,4,0,32,34,0,155,165,0,70,89,0,1799,1923,0,28,20,0,181,143,0,2,5,0,24,39,0,142,155,1,67,74,0,1780,1835,2,17,19,0,196,153,1,10,5,0,27,24,1,134,140,0,65,70,0,1878,1904,5,15,17,0,171,164,0,1,1,0,22,30,0,144,168,0,47,42,1,1716,1863,2,10,21,1,198,168,2,3,3,0,26,30,0,99,119,0,34,31,0,1535,1729,1,19,12,0,160,165,1,4,2,0,52,41,0,212,287,0,59,51,0,4009,4610,7,20,17,0,337,394,2
Jasper County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,111,90,0,24,19,0,443,419,1,7,6,0,22,16,0,0,0,0,1,0,0,71,91,0,7,9,0,285,298,0,2,3,0,23,9,0,1,0,0,4,2,0,65,78,0,7,7,0,305,344,0,11,3,0,11,16,0,0,0,0,1,1,0,72,89,0,4,1,0,288,320,0,1,1,0,8,11,0,0,1,0,0,2,0,49,77,0,4,4,0,292,290,0,1,4,0,5,13,0,3,1,0,1,1,0,44,53,0,3,2,0,331,353,1,0,2,0,12,12,0,2,2,0,3,0,0,63,77,0,4,7,0,386,368,0,1,2,0,16,8,0,1,0,0,1,3,0,86,96,0,6,5,0,385,404,1,1,1,0,15,19,0,0,1,0,1,0,0,85,81,0,2,2,0,384,369,0,1,0,0,17,16,0,0,0,0,0,3,0,174,253,0,4,5,0,874,978,1,5,0,0,17,25,0
Jeff Davis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,60,73,0,51,54,0,351,348,3,7,9,0,54,48,0,0,0,0,1,2,0,57,65,0,13,30,0,226,252,0,7,4,0,19,16,0,0,0,0,0,2,0,44,61,0,8,21,0,233,284,0,3,4,0,15,10,0,2,1,0,2,2,0,50,64,0,7,8,0,227,260,1,1,4,0,14,12,0,0,0,0,0,0,0,31,57,0,3,10,0,233,254,1,3,0,0,20,16,0,0,1,0,0,4,0,43,42,0,4,4,0,263,307,0,1,3,0,23,22,0,0,0,0,1,1,0,45,41,0,11,6,0,273,312,0,1,0,0,11,13,0,0,2,0,1,1,0,50,70,0,5,7,0,275,281,0,2,2,0,12,7,0,0,1,0,3,0,0,44,67,0,4,2,0,274,284,1,1,1,0,15,12,0,1,0,0,1,0,0,129,153,0,5,4,0,693,866,2,0,1,0,26,32,1
Jefferson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,5,0,264,324,2,6,7,0,229,202,0,8,15,0,87,66,1,1,0,0,0,2,0,240,272,3,2,3,0,139,149,1,2,8,1,40,30,0,0,3,0,0,0,0,202,271,0,2,2,0,149,165,1,4,4,0,29,30,0,0,0,0,1,1,0,168,257,0,2,3,0,151,165,0,2,5,0,25,28,0,1,0,0,0,1,0,194,228,1,2,1,0,131,162,0,2,5,0,34,24,1,0,2,0,2,1,0,180,241,0,4,1,0,157,163,0,1,1,0,20,26,1,1,0,0,4,1,0,202,285,1,0,0,0,198,202,0,2,1,0,40,26,0,0,0,0,0,1,0,249,305,0,1,1,0,214,228,0,1,0,0,47,40,0,1,1,0,1,1,0,209,282,1,1,2,0,198,216,0,2,0,0,24,36,0,1,0,0,1,3,0,511,814,2,3,2,0,675,747,1,2,5,0,83,105,0
Jenkins County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,86,106,0,7,5,0,128,129,2,1,7,0,51,32,0,0,1,0,1,0,0,66,86,0,2,0,0,96,112,0,1,2,0,28,16,0,0,1,0,0,1,0,71,76,0,1,3,0,93,110,0,3,0,0,13,16,0,0,0,0,0,1,0,61,68,0,0,2,0,86,81,0,1,0,0,7,11,0,1,0,0,1,1,0,60,91,0,0,1,0,94,99,1,0,1,0,7,16,0,0,0,0,1,1,0,51,77,0,1,0,0,96,116,0,0,1,0,24,11,0,0,1,0,0,0,0,67,77,0,0,1,0,105,106,0,0,0,0,14,7,0,0,0,0,1,0,0,85,92,0,1,0,0,137,121,0,0,1,0,28,12,0,0,0,0,2,1,0,60,98,0,1,0,0,125,153,0,0,0,0,12,14,0,1,0,0,0,0,0,156,252,1,0,0,0,394,462,0,0,2,0,36,21,1
Johnson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,70,116,0,2,2,0,177,180,1,2,2,0,33,22,0,0,0,0,0,0,0,70,73,0,1,0,0,118,132,0,1,0,0,19,12,0,0,0,0,2,0,0,67,82,0,1,1,0,98,140,0,2,0,0,6,2,0,0,0,0,0,0,0,59,68,0,0,2,0,118,124,1,2,0,0,9,5,0,0,0,0,0,0,0,52,78,0,0,0,0,131,143,0,1,0,0,3,4,0,0,0,0,1,2,0,44,61,0,1,3,0,127,136,0,1,0,0,6,6,0,0,0,0,4,2,0,56,70,0,1,0,0,160,152,0,0,0,0,6,10,0,0,0,0,0,0,0,78,67,0,0,0,0,168,188,1,0,0,0,6,6,0,0,0,0,1,1,0,90,100,0,1,0,0,160,177,0,0,0,0,5,12,0,1,0,0,2,1,0,140,228,0,0,1,0,479,579,0,1,0,0,15,15,0
Jones County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,4,7,0,316,283,0,17,13,0,801,823,5,19,25,0,73,42,0,0,0,0,3,2,0,174,198,1,3,7,0,542,550,0,12,12,0,35,24,0,1,0,0,2,5,0,143,180,0,6,10,0,551,608,0,3,3,0,34,20,1,3,1,0,0,9,0,166,216,0,3,8,0,523,627,0,9,12,0,37,17,0,3,2,0,7,8,0,177,240,0,6,4,0,547,568,0,10,9,0,28,21,0,1,2,0,2,2,0,187,242,0,3,8,0,557,605,0,9,10,0,36,18,0,3,4,0,2,5,0,164,223,0,3,6,0,629,669,1,2,5,0,35,23,0,2,2,0,3,4,0,233,277,0,7,3,0,632,644,0,8,1,0,20,23,0,1,0,0,2,5,0,200,263,0,3,5,0,586,633,0,2,3,0,28,18,0,2,1,0,8,12,0,447,627,0,7,10,0,1469,1777,1,8,4,0,76,68,0
Lamar County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,147,187,0,13,18,0,421,434,1,15,22,0,71,54,1,3,1,0,3,6,0,137,163,0,6,12,0,320,352,0,6,9,0,44,38,0,5,4,0,6,2,0,139,133,0,8,9,0,371,346,1,6,6,0,34,42,0,0,2,0,1,3,0,105,133,0,1,4,0,301,339,0,10,5,0,40,35,0,1,0,0,1,2,0,87,134,0,2,5,0,297,316,0,4,4,0,38,35,0,2,1,0,2,0,0,112,132,0,3,3,0,356,384,0,2,3,0,43,22,0,1,2,0,1,2,0,93,120,0,9,3,0,372,374,0,4,5,0,36,35,0,0,2,0,0,0,0,102,159,0,4,4,0,375,404,0,0,2,0,35,38,0,0,2,0,2,4,0,119,142,0,0,2,0,392,415,0,4,5,0,19,25,0,0,1,0,0,4,0,244,337,0,4,3,0,1050,1202,2,7,1,0,62,66,0
Lanier County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,76,68,0,17,12,0,193,231,1,7,21,0,19,5,0,1,1,0,1,1,0,60,47,0,10,13,0,151,192,1,4,2,0,9,10,0,1,2,0,1,1,0,47,66,0,4,8,0,162,202,0,1,4,0,12,11,0,3,3,0,2,1,0,36,62,0,7,7,0,155,167,0,4,2,0,11,15,0,1,1,0,0,2,0,38,46,0,4,5,0,158,178,0,5,1,0,10,16,0,2,0,0,1,5,0,35,43,0,1,4,0,136,158,0,2,0,0,13,13,1,1,0,0,0,1,0,43,54,0,0,4,0,154,181,0,0,2,0,8,12,0,3,3,0,0,1,0,49,47,0,3,4,0,178,176,0,2,3,0,17,7,0,0,2,0,0,3,0,49,59,0,4,4,0,160,170,0,1,1,0,11,13,0,0,0,0,3,6,0,88,124,0,5,2,0,344,401,0,2,4,0,28,22,0
Laurens County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,8,14,1,672,768,2,32,27,0,959,1030,4,34,44,0,158,94,3,1,4,0,5,5,1,462,601,0,25,21,0,691,733,0,21,21,0,88,76,0,2,2,0,11,10,0,454,616,2,13,18,0,658,723,2,13,28,0,74,61,0,2,4,0,8,6,0,365,604,1,15,18,0,624,744,2,19,10,0,75,61,0,2,2,0,10,13,0,405,560,1,7,11,0,724,767,1,18,12,0,57,62,0,0,4,0,11,9,0,354,512,0,9,9,0,725,765,1,4,9,0,64,62,0,0,4,0,9,15,0,364,507,1,2,11,0,828,856,0,13,7,0,81,61,0,3,4,0,11,10,0,385,536,1,11,9,0,809,860,1,5,7,0,69,57,1,2,2,0,9,13,0,420,504,2,9,11,0,791,894,0,4,12,0,77,56,1,1,4,0,21,20,0,799,1215,2,12,14,0,2277,2810,2,8,13,0,130,146,1
Lee County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,30,29,1,304,294,4,21,31,2,881,820,18,35,20,0,133,107,11,1,2,0,19,7,0,141,217,3,17,15,0,571,665,1,8,6,0,64,58,2,2,1,0,7,14,0,150,234,0,17,20,0,662,739,1,12,15,0,74,66,1,4,0,0,13,21,1,180,283,1,10,21,0,686,779,4,7,7,0,74,67,1,3,3,0,13,19,0,179,270,0,16,21,0,715,762,0,4,8,0,60,81,0,3,4,0,18,28,0,207,275,0,10,13,0,730,779,1,10,7,1,79,67,0,2,3,0,23,14,0,175,209,0,9,12,0,726,736,0,8,9,0,64,69,1,3,0,0,14,10,0,159,194,0,4,6,0,629,733,0,5,5,0,67,45,1,1,3,0,14,10,0,120,173,1,8,7,0,633,724,0,7,3,0,70,39,0,3,2,0,11,20,0,256,324,0,6,7,0,1511,1705,1,10,3,0,110,108,1
Liberty County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,48,60,0,956,1059,7,203,237,0,756,790,2,104,152,0,551,380,0,7,14,0,51,34,0,797,1024,2,167,163,0,554,751,1,54,91,0,400,289,3,4,9,0,41,33,0,710,960,2,138,154,0,567,644,0,52,68,1,277,234,2,3,9,0,29,29,0,581,827,1,101,127,0,451,522,1,37,63,0,214,202,2,0,6,0,27,38,0,511,718,3,84,108,0,412,437,1,28,47,0,163,154,0,4,4,0,23,30,0,468,683,0,69,78,0,479,459,1,17,27,0,122,153,1,1,3,0,10,16,0,528,708,1,73,88,0,445,458,2,26,21,0,113,125,2,1,5,0,18,46,0,646,861,1,58,71,0,536,582,0,19,23,0,121,133,0,5,1,0,15,39,0,660,663,2,54,70,0,473,530,0,12,14,0,97,108,0,5,7,0,22,78,0,919,1183,0,75,108,0,1258,1286,0,28,32,0,139,168,1
Lincoln County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,77,74,0,4,6,0,159,154,2,8,2,0,25,23,0,1,0,0,0,0,0,71,73,0,2,3,0,145,133,0,1,4,0,18,14,0,1,0,0,0,2,0,45,66,0,1,1,0,134,144,0,2,1,0,12,12,0,2,1,0,0,0,0,57,70,0,1,1,0,122,125,0,0,6,0,15,14,0,0,1,0,0,2,0,43,65,0,1,0,0,112,124,0,3,0,0,14,12,0,0,1,0,0,0,0,61,62,0,0,0,0,152,158,0,0,1,0,18,17,0,0,0,0,2,1,0,65,68,0,1,0,0,132,148,0,1,0,0,26,22,0,1,1,0,0,1,0,67,96,0,0,2,0,192,204,0,1,0,1,26,20,0,0,0,0,0,0,0,81,94,0,1,0,0,205,204,0,0,1,0,15,27,0,1,1,0,0,4,0,160,247,0,3,1,0,623,667,0,4,3,0,45,32,0
Long County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,6,0,164,157,1,67,65,0,311,307,1,26,41,0,118,84,1,1,4,0,6,13,0,121,117,0,31,33,0,233,283,0,11,19,0,80,57,0,2,1,0,9,9,0,118,169,0,30,45,0,254,314,0,9,14,0,95,63,0,1,4,0,5,11,1,102,151,0,29,43,0,243,318,0,7,12,0,62,65,1,1,0,0,3,14,0,100,136,0,27,19,0,219,241,2,14,9,0,48,59,3,3,3,0,5,5,0,91,116,0,12,20,0,232,231,0,9,5,0,44,35,1,3,1,0,3,7,0,98,106,0,19,12,0,212,219,0,9,6,0,37,44,0,0,3,0,0,3,0,98,111,0,15,17,0,224,229,0,2,2,1,26,35,1,0,0,0,2,5,0,98,103,1,12,14,0,191,172,1,4,3,0,27,29,0,1,0,0,5,3,0,107,151,0,12,12,0,383,445,1,2,3,1,45,45,0
Lowndes County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,1,73,78,1,1879,2217,7,200,254,2,2268,2425,12,211,253,2,194,131,6,15,18,0,47,52,0,1438,1751,4,166,181,0,1874,2018,8,130,142,0,161,163,1,15,11,0,44,60,0,1205,1689,1,95,102,1,1793,2020,1,127,138,0,158,154,5,9,7,0,42,46,0,1029,1336,2,77,102,0,1732,1903,2,93,104,0,134,152,4,12,8,1,42,41,0,860,1239,1,76,89,0,1488,1618,3,73,102,0,122,102,3,9,9,0,37,41,1,814,1130,0,47,58,0,1531,1673,4,60,75,0,87,97,1,7,3,0,33,44,0,782,1044,1,55,66,0,1611,1672,1,47,55,0,106,93,2,8,12,0,24,41,0,820,1125,0,37,44,1,1704,1829,0,50,59,0,133,116,3,10,7,0,22,41,0,793,981,1,42,46,0,1532,1727,2,34,44,1,92,89,1,17,20,0,51,92,0,1539,2250,3,62,74,0,4210,5114,6,69,87,0,226,234,13
